Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Link do Item;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento
Dispensa | 90011/2024;1;19143 - ANÁLISE FÍSICO - QUÍMICA ÁGUA;Análise Físico - Química Água;-;-;160224 - PQ R MNT/5;1.00000;27.463.015/0001-42 - EXACTY ANALISES QUIMICAS LTDA;1126.17;0.00000;https://contratos.sistema.gov.br/transparencia/compras/528280/itens/5195957/show;Dispensa;90011;2024;160224;;
Dispensa | 00003/2024;1;18678 - MANUTENÇÃO DE VEÍCULOS LEVES - INJEÇÃO ELETRÔNICA. CARACTERISTICAS ADCIONAIS: SERVIÇO DE RECUPERAÇÃO DO CONJUNTO DE INJEÇÃO DO MOTOR DA VAN CITROEN JUMPER 2.3 127 CV 2013 COM FORNECIMENTO DE MATERIAL (APLICAÇÃO DE PEÇAS). INCLUINDO OS SEGUINT;"Manutenção de Veículos Leves - Injeção Eletrônica. CARACTERISTICAS ADCIONAIS: serviço de recuperação do conjunto de injeção do motor da Van Citroen Jumper 2.3 127 Cv 2013 com fornecimento de material (aplicação de peças). Incluindo os seguintes procedimentos: - Mão de obra de montagem e desmontagem da bomba de alta e bico injetor; - Mão de obra de vedação de bomba de alta; - Limpeza de bomba de alta; - Mão de obra de recuperação de bico injetor, com a substituição de 01 Kit de vedação da bomba de alta e 04 Kts de reparo do bico injetor.";-;-;160224 - PQ R MNT/5;1.00000;27.028.013/0001-25 - GRIFFIN AUTO CENTER LTDA;6260.00;0.00000;https://contratos.sistema.gov.br/transparencia/compras/528156/itens/5194828/show;Dispensa;00003;2024;160224;;
Dispensa | 90070/2024;1;343299 - HIPOCLORITO DE SÓDIO;HIPOCLORITO DE SÓDIO, ASPECTO FÍSICO LÍQUIDO AMARELO ESVERDEADO, CONCENTRAÇÃOTEOR MÍNIMO DE 12 % DE CLORO ATIVO, CARACTERÍSTICAS ADICIONAIS PRODUTOCONCENTRADO, NÃO ESTABILIZADO;-;-;160224 - PQ R MNT/5;390.00000;49.709.450/0001-47 - DALO EMPREENDIMENTOS LTDA;5.30;0.00000;https://contratos.sistema.gov.br/transparencia/compras/528063/itens/5194126/show;Dispensa;90070;2024;160224;;
Dispensa | 00001/2024;1;12661 - MANUTENÇÃO E REPARO EM BALANÇAS MECÂNICAS / ELETRÔNICAS;Manutenção e Reparo em Balanças Mecânicas / Eletrônicas;-;-;160224 - PQ R MNT/5;1.00000;10.927.084/0001-67 - CALIBRAPAR COMERCIO E SERVICOS LTDA;330.00;0.00000;https://contratos.sistema.gov.br/transparencia/compras/527578/itens/5190556/show;Dispensa;00001;2024;160224;;
Dispensa | 90006/2024;1;476856 - EXTINTOR INCÊNDIO;"EXTINTOR INCÊNDIO, MATERIAL MANGUEIRA PVC, MATERIAL TRAMA NYLON, MATERIALVÁLVULA SAÍDA LATÃO FORJADO, MATERIAL CILINDRO AÇO INOXIDÁVEL, CAPACIDADE 6 L,ACABAMENTO SUPERFICIAL CILINDRO POLIDO, APLICAÇÃO INCÊNDIO CLASSE ""K"",MATERIAL CARGA ACETATO DE POTÁSSIO, CARACTERÍSTICAS ADICIONAIS PORTÁTIL";-;-;160224 - PQ R MNT/5;2.00000;42.889.678/0001-17 - FELIPE ALVARENGA COMERCIO E SERVICOS DE ENGENHARIA LTDA;2205.22;0.00000;https://contratos.sistema.gov.br/transparencia/compras/526870/itens/5182500/show;Dispensa;90006;2024;160224;;
Dispensa | 00002/2024;1;2941 - LIMPEZA DE EQUIPAMENTOS E TUBULAÇÕES POR HIDROJATEAMENTO;Limpeza de Equipamentos e Tubulações por Hidrojateamento;-;-;160224 - PQ R MNT/5;2.00000;02.297.194/0001-64 - JOSE SEBASTIAO DURAU & CIA LTDA;1000.00;0.00000;https://contratos.sistema.gov.br/transparencia/compras/526793/itens/5181988/show;Dispensa;00002;2024;160224;;
Pregão | 00010/2023;1;431362 - ABRAÇADEIRA;ABRAÇADEIRA, MATERIAL NÁILON, COMPRIMENTO TOTAL 200 MM, LARGURA 4 MM, COR PRETA;17/05/2024;17/05/2025;160224 - PQ R MNT/5;15.00000;44.207.436/0001-21 - DISTRIBUIDORA JORDAO COMERCIO ATACADISTA DE EMBALAGENS LTDA;8.91;0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148596/show;Pregão;00010;2023;160224;Objeto: Pregão Eletrônico -  Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Pacote 100,00 UN
Pregão | 00010/2023;3;288117 - ALICATE DE PRESSÃO;ALICATE DE PRESSÃO, MATERIAL FERRO, TRATAMENTO SUPERFICIAL AÇO VANÁDIO, MORDENTE INFERIOR CURVO, AJUSTE UMA POSIÇÃO, CARACTERÍSTICAS ADICIONAIS ISOLAMENTO NO CABO, TAMANHO 10 POL;17/05/2024;17/05/2025;160224 - PQ R MNT/5;20.00000;53.179.372/0001-93 - 53.179.372 ERIC DANTAS TEIXEIRA;23.00;10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148597/show;Pregão;00010;2023;160224;Objeto: Pregão Eletrônico -  Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
Pregão | 00010/2023;4;471856 - ALICATE DESCASCAR FIO;ALICATE DESCASCAR FIO, MATERIAL AÇO, COMPRIMENTO 200 MM;17/05/2024;17/05/2025;160224 - PQ R MNT/5;20.00000;42.810.782/0001-74 - MAX QUALITY COMERCIO LTDA;72.52;10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148598/show;Pregão;00010;2023;160224;Objeto: Pregão Eletrônico -  Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
Pregão | 00010/2023;5;445372 - ALICATE UNIVERSAL;ALICATE UNIVERSAL, MATERIAL AÇO CROMO VANÁDIO, MATERIAL CABO PLÁSTICO, TIPO CABO ISOLADO 1.OOO VOLTS, TIPO CORTE LATERAL, COMPRIMENTO 8 POL;17/05/2024;17/05/2025;160224 - PQ R MNT/5;20.00000;46.148.186/0001-21 - J. K. COMERCIO E SERVICOS LTDA;160.00;20.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148599/show;Pregão;00010;2023;160224;Objeto: Pregão Eletrônico -  Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
