Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Link do Item;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;key;Número da Compra_y;Objeto;Número do Item_y;Descrição_y;Descrição Complementar;Unidade de Fornecimento;Ano do Pregão_y;Número do Pregão_y
Pregão | 90003/2024;1;440970 - ABRAÇADEIRA;"ABRAÇADEIRA, MATERIAL AÇO CARBONO, TIPO ""U"", DIÂMETRO AMARRAÇÃO 1 POL";25/05/2024;25/05/2025;160224 - PQ R MNT/5;200.0;13.338.681/0001-44 - COMERCIAL SPONCHIADO LTDA;1.4;200.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196862/show;Pregão;90003;2024;160224;90003_2024_1;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;1;ABRAÇADEIRA;ABRAÇADEIRA, MATERIAL AÇO CARBONO, TIPO ´U´, DIÂMETRO AMARRAÇĂO 1 POL;Unidade;2024;90003
Pregão | 90003/2024;2;282538 - ABRAÇADEIRA;ABRAÇADEIRA, MATERIAL METAL GALVANIZADO, APLICAÇÃO FIXAÇÃO MANGUEIRA, DIÂMETRO AMARRAÇÃO 2 POL;25/05/2024;25/05/2025;160224 - PQ R MNT/5;200.0;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;2.7;200.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196863/show;Pregão;90003;2024;160224;90003_2024_2;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;2;ABRAÇADEIRA;ABRAÇADEIRA, MATERIAL METAL GALVANIZADO, APLICAÇĂO FIXAÇĂO MANGUEIRA, DIÂMETROAMARRAÇĂO 2 POL;Unidade;2024;90003
Pregão | 90003/2024;3;398522 - ABRAÇADEIRA;ABRAÇADEIRA, MATERIAL AÇO INOXIDÁVEL, TIPO ROSCA SEM FIM, DIÂMETRO AMARRAÇÃO 3 1/2 POL;25/05/2024;25/05/2025;160224 - PQ R MNT/5;20.0;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;43.0;20.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196864/show;Pregão;90003;2024;160224;90003_2024_3;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;3;ABRAÇADEIRA;ABRAÇADEIRA, MATERIAL AÇO INOXIDÁVEL, TIPO ROSCA SEM FIM, DIÂMETRO AMARRAÇĂO 31/2 POL;Pacote 10,00 UN;2024;90003
Pregão | 90003/2024;5;441646 - ARAME FARPADO;ARAME FARPADO, MATERIAL AÇO, DIÂMETRO 2,76 MM, TRATAMENTO SUPERFICIAL GALVANIZADO, CARACTERÍSTICAS ADICIONAIS CONCERTINA CLIPADA (DUPLA) 300MM;25/05/2024;25/05/2025;160224 - PQ R MNT/5;300.0;14.221.952/0001-40 - METALURGICA SOUZA E MARTINS LTDA;10.39;300.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196865/show;Pregão;90003;2024;160224;90003_2024_5;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;5;ARAME FARPADO;ARAME FARPADO, MATERIAL AÇO, DIÂMETRO 2,76 MM, TRATAMENTO SUPERFICIAL         GALVANIZADO, CARACTERÍSTICAS ADICIONAIS CONCERTINA CLIPADA (DUPLA) 300MM;Metro;2024;90003
Pregão | 90003/2024;6;441647 - ARAME FARPADO;ARAME FARPADO, MATERIAL AÇO, DIÂMETRO 2,76 MM, TRATAMENTO SUPERFICIAL GALVANIZADO, CARACTERÍSTICAS ADICIONAIS CONCERTINA SIMPLES 300MM;25/05/2024;25/05/2025;160224 - PQ R MNT/5;300.0;14.221.952/0001-40 - METALURGICA SOUZA E MARTINS LTDA;7.92;300.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196866/show;Pregão;90003;2024;160224;90003_2024_6;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;6;ARAME FARPADO;ARAME FARPADO, MATERIAL AÇO, DIÂMETRO 2,76 MM, TRATAMENTO SUPERFICIAL         GALVANIZADO, CARACTERÍSTICAS ADICIONAIS CONCERTINA SIMPLES 300MM;Metro;2024;90003
Pregão | 90003/2024;7;336023 - ARAME GALVANIZADO;ARAME GALVANIZADO, MATERIAL AÇO CARBONO, TIPO Nº 16;25/05/2024;24/05/2025;160224 - PQ R MNT/5;50.0;40.044.357/0001-96 - CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;15.42;50.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196867/show;Pregão;90003;2024;160224;90003_2024_7;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;7;ARAME GALVANIZADO;ARAME GALVANIZADO, MATERIAL AÇO CARBONO, TIPO Nş 16;Quilograma;2024;90003
Pregão | 90003/2024;8;247711 - ARAME GALVANIZADO;ARAME GALVANIZADO, MATERIAL ARAME GALVANIZADO, TIPO Nº 18;25/05/2024;24/05/2025;160224 - PQ R MNT/5;50.0;40.044.357/0001-96 - CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;16.24;50.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196868/show;Pregão;90003;2024;160224;90003_2024_8;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;8;ARAME GALVANIZADO;ARAME GALVANIZADO, MATERIAL ARAME GALVANIZADO, TIPO Nş 18;Quilograma;2024;90003
Pregão | 90003/2024;9;380038 - ARAME GALVANIZADO;ARAME GALVANIZADO, MATERIAL METAL, TIPO Nº 12;25/05/2024;25/05/2025;160224 - PQ R MNT/5;50.0;43.731.740/0001-00 - FRONT COMERCIAL LTDA;14.12;50.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196869/show;Pregão;90003;2024;160224;90003_2024_9;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;9;ARAME GALVANIZADO;ARAME GALVANIZADO, MATERIAL METAL, TIPO Nş 12;Quilograma;2024;90003
Pregão | 90003/2024;10;471741 - ARAME GALVANIZADO;ARAME GALVANIZADO, MATERIAL METAL, TIPO Nº 14, DIÂMETRO FIO 2,10 MM;25/05/2024;24/05/2025;160224 - PQ R MNT/5;50.0;40.044.357/0001-96 - CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTDA;14.1;50.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196870/show;Pregão;90003;2024;160224;90003_2024_10;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;10;ARAME GALVANIZADO;ARAME GALVANIZADO, MATERIAL METAL, TIPO Nş 14, DIÂMETRO FIO 2,10 MM;Quilograma;2024;90003
Pregão | 90003/2024;11;443262 - PARAFUSO;PARAFUSO, MATERIAL BICROMATIZADO, TIPO CABEÇA CHATA, COMPRIMENTO 20 MM, DIÂMETRO 3,5 MM, CARACTERÍSTICAS ADICIONAIS FENDA PHILIPS, APLICAÇÃO MADEIRA;25/05/2024;25/05/2025;160224 - PQ R MNT/5;1000.0;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;0.03;1000.0;https://contratos.sistema.gov.br/transparencia/compras/528349/itens/5196871/show;Pregão;90003;2024;160224;90003_2024_11;90003/2024;Objeto: Pregăo Eletrônico -  Eventual aquisiçăo de MATERIAL METÁLICO PARA MANUTENÇĂO DE BENS IMÓVEIS-CCALC;11;PARAFUSO;PARAFUSO, MATERIAL BICROMATIZADO, TIPO CABEÇA CHATA, COMPRIMENTO 20 MM,       DIÂMETRO 3,5 MM, CARACTERÍSTICAS ADICIONAIS FENDA PHILIPS, APLICAÇĂO MADEIRA;Unidade;2024;90003
