Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Link do Item;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento;key
160192 - Pregão | 00013/2023;6;317910 - PREGO COM CABEÇA;PREGO COM CABEÇA, MATERIAL AÇO, TIPO CABEÇA CHATA, TIPO CORPO LISO, TIPO PONTA COMUM, BITOLA 17 X 27;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;20.0;18.955.309/0001-09 - BERINA COMERCIAL IMPORTADORA LTDA;8.99;20.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996637/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Quilograma;13_2023_6
160192 - Pregão | 00013/2023;9;476816 - PARAFUSO;PARAFUSO, MATERIAL AÇO CARBONO, TIPO CABEÇA SEXTAVADA, COMPRIMENTO 2 POL, DIÂMETRO 1/4 POL, CARACTERÍSTICAS ADICIONAIS ROSCA INTEIRA, TRATAMENTO SUPERFICIAL ZINCADO;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;23.98;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996640/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Embalagem 100,00 UN;13_2023_9
160192 - Pregão | 00013/2023;10;472223 - PARAFUSO;PARAFUSO, MATERIAL AÇO CARBONO, TIPO CABEÇA ESCAREADA C/ FENDA, COMPRIMENTO 1 POL, DIÂMETRO 5/16 POL, CARACTERÍSTICAS ADICIONAIS PASSO: 18FPP, TIPO ROSCA UNC, NORMAS TÉCNICAS ASME B.18.6.3;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;2.0;14.636.329/0001-58 - DAFMAQ COMERCIAL LTDA;36.04;2.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996641/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Embalagem 100,00 UN;13_2023_10
160192 - Pregão | 00013/2023;12;440775 - PARAFUSO;PARAFUSO, MATERIAL AÇO, TIPO CABEÇA SEXTAVADA, COMPRIMENTO 5/8 POL, DIÂMETRO 1 4 POL, CARACTERÍSTICAS ADICIONAIS ROSCA INTEIRA;28/03/2024;2025-03-28; 160192 - B ADM AP/5ª RM;5.0;37.201.772/0001-00 - VIDOR & HEINECKE REPRESENTACOES COMERCIAIS LTDA;18.42;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996642/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Embalagem 100,00 UN;13_2023_12
160192 - Pregão | 00013/2023;13;472248 - PARAFUSO;"PARAFUSO, MATERIAL AÇO CARBONO ZINCADO, TIPO CABEÇA ESCAREADA C/ FENDA, COMPRIMENTO 2 POL, CARACTERÍSTICAS ADICIONAIS PASSO: 18FPP, TIPO ROSCA 5/ 16""UNC, NORMAS TÉCNICAS ASME B.18.6.3";14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;38.83;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996643/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Embalagem 100,00 UN;13_2023_13
160192 - Pregão | 00013/2023;14;368937 - PARAFUSO FIXAÇÃO TELHADO;PARAFUSO FIXAÇÃO TELHADO, MATERIAL AÇO CARBONO, COMPRIMENTO 110 MM, DIÂMETRO 5 16 POL, CARACTERÍSTICAS ADICIONAIS ARRUELA METAL E ARRUELA BORRACHA;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;10.0;36.986.531/0001-42 - LICITAR COMERCIO E DISTRIBUICAO DE MATERIAIS ELETRICOS, HIDRAULICOS LTDA;46.39;10.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996644/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Unidade;13_2023_14
160192 - Pregão | 00013/2023;15;406269 - PORCA;PORCA, MATERIAL AÇO, TIPO AUTOTRAVANTE COM NÁILON, DIÂMETRO FURO 1/4 POL, TRATAMENTO SUPERFICIAL GALVANIZADO, CARACTERÍSTICAS ADICIONAIS SEXTAVADA;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;6.95;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996645/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_15
160192 - Pregão | 00013/2023;16;390732 - PORCA;PORCA, MATERIAL AÇO INOXIDÁVEL, TIPO SEXTAVADA, DIÂMETRO FURO 5/16 POL, CARACTERÍSTICAS ADICIONAIS 18 FIOS POR POLEGADA, TIPO ROSCA UNC;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;9.48;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996646/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_16
160192 - Pregão | 00013/2023;17;458881 - PORCA;PORCA, MATERIAL AÇO INOXIDÁVEL AISI 304, TIPO AUTOFRENANTE COM NÁILON, DIÂMETRO FURO 3/8 POL, CARACTERÍSTICAS ADICIONAIS SEXTAVADA, TIPO ROSCA GROSSA WITHWORTH;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;09.655.702/0001-88 - E C DA SILVA FERRAGENS LTDA;15.57;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996647/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_17
160192 - Pregão | 00013/2023;18;390734 - PORCA;PORCA, MATERIAL AÇO INOXIDÁVEL, TIPO SEXTAVADA, DIÂMETRO FURO 7/16 POL, CARACTERÍSTICAS ADICIONAIS 14 FIOS POR POLEGADA, TIPO ROSCA UNC;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;09.655.702/0001-88 - E C DA SILVA FERRAGENS LTDA;25.67;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996648/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_18
160192 - Pregão | 00013/2023;19;458882 - PORCA;PORCA, MATERIAL AÇO INOXIDÁVEL AISI 304, TIPO AUTOFRENANTE COM NÁILON, DIÂMETRO FURO 1/2 POL, CARACTERÍSTICAS ADICIONAIS SEXTAVADA, TIPO ROSCA GROSSA WITHWORTH;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;09.655.702/0001-88 - E C DA SILVA FERRAGENS LTDA;34.22;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996649/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_19
160192 - Pregão | 00013/2023;20;420728 - ARRUELA;ARRUELA, MATERIAL AÇO, DIÂMETRO INTERNO 1/4 POL, TRATAMENTO SUPERFICIAL ZINCADO, TIPO CÔNCOVA;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;5.45;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996650/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 100,00 UN;13_2023_20
160192 - Pregão | 00013/2023;21;390866 - ARRUELA;ARRUELA, MATERIAL AÇO INOXIDÁVEL, DIÂMETRO INTERNO 5/16 POL, DIÂMETRO EXTERNO 20 MM, ESPESSURA 1,20 MM, TRATAMENTO SUPERFICIAL GALVANIZADO, TIPO LISA, CARACTERÍSTICAS ADICIONAIS PADRÃO 994 COMUM;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;7.69;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996651/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 100,00 UN;13_2023_21
160192 - Pregão | 00013/2023;22;459900 - ARRUELA;"ARRUELA, MATERIAL AÇO INOXIDAVEL AISI-304, DIÂMETRO INTERNO 3/8 POL, TIPO PRESSÃO, CARACTERÍSTICAS ADICIONAIS FORMA ""B""";14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;9.87;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996652/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 100,00 UN;13_2023_22
160192 - Pregão | 00013/2023;23;483656 - ARRUELA;ARRUELA, MATERIAL AÇO CARBONO, DIÂMETRO INTERNO 6,40 MM, DIÂMETRO EXTERNO 11,57 MM, ESPESSURA 1,40 MM, TRATAMENTO SUPERFICIAL ZINCADO, NORMAS TÉCNICAS DIN 125 A, TIPO LISA, CARACTERÍSTICAS ADICIONAIS M6;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;14.636.329/0001-58 - DAFMAQ COMERCIAL LTDA;22.9;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996653/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 100,00 UN;13_2023_23
160192 - Pregão | 00013/2023;24;459899 - ARRUELA;ARRUELA, MATERIAL AÇO INOX AISI 316, DIÂMETRO INTERNO 1/2 POL, TIPO LISA;28/03/2024;2025-03-28; 160192 - B ADM AP/5ª RM;5.0;37.201.772/0001-00 - VIDOR & HEINECKE REPRESENTACOES COMERCIAIS LTDA;9.27;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996654/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 100,00 UN;13_2023_24
